"3","850","FAC141","2020-06-01 21:31:00","2020-06-01"
"5","445","FAC129","2020-04-27 11:24:00","2020-04-27"
"6","859","FAC104","2020-05-22 15:46:00","2020-05-22"
"7","784","FAC112","2020-07-15 08:08:00","2020-07-15"
"8","11","FAC135","2020-03-03 12:11:00","2020-03-03"
"9","114","FAC117","2020-07-27 05:19:00","2020-07-27"
"10","166","FAC117","2020-07-12 08:15:00","2020-07-12"
"11","259","FAC132","2020-02-26 16:21:00","2020-02-26"
"12","456","FAC104","2020-03-13 03:09:00","2020-03-13"
"13","193","FAC119","2020-04-30 22:40:00","2020-04-30"
"14","483","FAC104","2020-04-16 18:02:00","2020-04-16"
"15","913","FAC138","2020-02-14 04:18:00","2020-02-14"
"16","975","FAC127","2020-04-09 04:41:00","2020-04-09"
"17","544","FAC118","2020-06-19 15:39:00","2020-06-19"
"18","536","FAC126","2020-06-09 15:58:00","2020-06-09"
"19","679","FAC113","2020-05-21 04:23:00","2020-05-21"
"20","579","FAC103","2020-03-31 18:11:00","2020-03-31"
"22","867","FAC133","2020-06-09 07:58:00","2020-06-09"
"23","733","FAC120","2020-03-10 11:21:00","2020-03-10"
"24","818","FAC141","2020-02-08 14:01:00","2020-02-08"
"25","291","FAC142","2020-05-27 07:14:00","2020-05-27"
"26","299","FAC123","2020-02-18 16:48:00","2020-02-18"
"27","598","FAC126","2020-05-14 02:05:00","2020-05-14"
"29","36","FAC112","2020-04-06 07:23:00","2020-04-06"
"30","46","FAC137","2020-03-05 17:33:00","2020-03-05"
"31","567","FAC118","2020-04-15 17:46:00","2020-04-15"
"32","915","FAC108","2020-06-28 22:25:00","2020-06-28"
"33","244","FAC103","2020-02-22 15:13:00","2020-02-22"
"34","816","FAC108","2020-06-23 09:26:00","2020-06-23"
"35","948","FAC128","2020-03-10 01:31:00","2020-03-10"
"36","798","FAC129","2020-06-17 23:20:00","2020-06-17"
"37","728","FAC117","2020-02-17 02:10:00","2020-02-17"
"38","984","FAC113","2020-06-18 19:15:00","2020-06-18"
"40","710","FAC120","2020-02-02 07:28:00","2020-02-02"
"42","827","FAC108","2020-07-11 07:02:00","2020-07-11"
"44","797","FAC124","2020-03-08 13:24:00","2020-03-08"
"45","739","FAC134","2020-06-07 00:41:00","2020-06-07"
"46","552","FAC133","2020-06-18 03:33:00","2020-06-18"
"47","396","FAC117","2020-03-26 08:32:00","2020-03-26"
"50","810","FAC104","2020-05-31 13:21:00","2020-05-31"
"51","699","FAC103","2020-03-13 22:24:00","2020-03-13"
"52","38","FAC141","2020-06-21 19:57:00","2020-06-21"
"53","438","FAC131","2020-04-09 23:44:00","2020-04-09"
"54","268","FAC142","2020-06-19 10:49:00","2020-06-19"
"55","604","FAC109","2020-01-29 17:12:00","2020-01-29"
"56","346","FAC128","2020-04-20 00:42:00","2020-04-20"
"58","124","FAC114","2020-07-10 10:45:00","2020-07-10"
"59","741","FAC132","2020-07-10 23:17:00","2020-07-10"
"60","354","FAC123","2020-05-22 16:13:00","2020-05-22"
"63","693","FAC126","2020-08-04 15:50:00","2020-08-04"
"66","168","FAC125","2020-06-28 06:49:00","2020-06-28"
"69","504","FAC112","2020-03-21 23:25:00","2020-03-21"
"70","89","FAC128","2020-03-22 05:12:00","2020-03-22"
"71","347","FAC123","2020-08-08 21:51:00","2020-08-08"
"72","553","FAC140","2020-08-01 19:17:00","2020-08-01"
"74","639","FAC101","2020-03-14 13:19:00","2020-03-14"
"75","736","FAC115","2020-02-15 08:46:00","2020-02-15"
"76","672","FAC141","2020-04-27 23:09:00","2020-04-27"
"77","238","FAC127","2020-03-03 15:42:00","2020-03-03"
"78","847","FAC136","2020-05-31 09:37:00","2020-05-31"
"80","282","FAC128","2020-02-04 09:16:00","2020-02-04"
"81","242","FAC134","2020-03-18 07:22:00","2020-03-18"
"82","313","FAC130","2020-01-28 06:23:00","2020-01-28"
"83","538","FAC114","2020-01-29 15:21:00","2020-01-29"
"84","224","FAC117","2020-02-13 05:03:00","2020-02-13"
"85","127","FAC138","2020-07-26 11:41:00","2020-07-26"
"87","370","FAC121","2020-02-18 22:03:00","2020-02-18"
"88","745","FAC137","2020-08-06 19:21:00","2020-08-06"
"89","199","FAC124","2020-03-11 20:02:00","2020-03-11"
"90","850","FAC115","2020-06-01 20:27:00","2020-06-01"
"91","939","FAC126","2020-08-09 06:01:00","2020-08-09"
"94","534","FAC140","2020-07-27 07:18:00","2020-07-27"
"95","912","FAC104","2020-07-25 11:54:00","2020-07-25"
"96","952","FAC136","2020-07-19 22:31:00","2020-07-19"
"97","248","FAC114","2020-07-27 01:43:00","2020-07-27"
"98","572","FAC108","2020-02-14 13:06:00","2020-02-14"
"99","930","FAC138","2020-03-17 16:31:00","2020-03-17"
"101","925","FAC109","2020-04-06 00:16:00","2020-04-06"
"102","659","FAC110","2020-03-25 16:35:00","2020-03-25"
"103","490","FAC138","2020-07-13 06:39:00","2020-07-13"
"104","483","FAC142","2020-04-16 01:16:00","2020-04-16"
"105","447","FAC130","2020-08-13 13:45:00","2020-08-13"
"106","628","FAC137","2020-02-29 22:12:00","2020-02-29"
"107","273","FAC132","2020-08-01 01:17:00","2020-08-01"
"108","97","FAC109","2020-07-25 11:18:00","2020-07-25"
"109","380","FAC141","2020-04-14 14:29:00","2020-04-14"
"110","130","FAC116","2020-04-11 09:39:00","2020-04-11"
