"2","R001","21","2020-04-29 20:03:00","2020-04-29"
"3","R001","41","2020-04-20 04:28:00","2020-04-20"
"5","R001","52","2020-05-18 02:04:00","2020-05-18"
"6","R001","75","2020-06-15 14:00:00","2020-06-15"
"7","R001","85","2020-05-26 18:18:00","2020-05-26"
"11","R001","136","2020-08-02 17:00:00","2020-08-02"
"12","R001","140","2020-04-25 00:26:00","2020-04-25"
"14","R001","154","2020-02-22 05:10:00","2020-02-22"
"15","R001","168","2020-06-28 13:22:00","2020-06-28"
"16","R001","175","2020-07-31 00:15:00","2020-07-31"
"17","R001","178","2020-07-13 17:36:00","2020-07-13"
"19","R001","202","2020-06-15 17:48:00","2020-06-15"
"20","R001","225","2020-02-26 19:09:00","2020-02-26"
"22","R001","242","2020-03-18 09:20:00","2020-03-18"
"23","R001","246","2020-02-01 18:00:00","2020-02-01"
"25","R001","258","2020-06-29 08:10:00","2020-06-29"
"26","R001","262","2020-04-10 20:25:00","2020-04-10"
"28","R001","274","2020-03-11 02:35:00","2020-03-11"
"29","R001","287","2020-02-03 20:20:00","2020-02-03"
"32","R001","334","2020-06-03 10:22:00","2020-06-03"
"33","R001","336","2020-02-09 16:07:00","2020-02-09"
"34","R001","337","2020-04-05 02:51:00","2020-04-05"
"35","R001","345","2020-03-18 11:32:00","2020-03-18"
"36","R001","346","2020-04-19 15:59:00","2020-04-19"
"37","R001","347","2020-08-07 18:32:00","2020-08-07"
"38","R001","356","2020-03-07 23:32:00","2020-03-07"
"39","R001","357","2020-03-10 01:16:00","2020-03-10"
"41","R001","371","2020-05-09 19:10:00","2020-05-09"
"42","R001","392","2020-06-08 11:00:00","2020-06-08"
"43","R001","396","2020-03-25 21:15:00","2020-03-25"
"44","R001","399","2020-04-10 09:21:00","2020-04-10"
"45","R001","403","2020-04-05 14:11:00","2020-04-05"
"46","R001","410","2020-02-23 02:12:00","2020-02-23"
"50","R001","437","2020-08-05 22:14:00","2020-08-05"
"51","R001","447","2020-08-12 18:27:00","2020-08-12"
"52","R001","455","2020-04-29 22:25:00","2020-04-29"
"53","R001","457","2020-06-30 16:31:00","2020-06-30"
"54","R001","472","2020-06-16 18:15:00","2020-06-16"
"55","R001","484","2020-04-30 17:37:00","2020-04-30"
"56","R001","490","2020-07-13 02:16:00","2020-07-13"
"57","R001","515","2020-02-20 12:14:00","2020-02-20"
"58","R001","518","2020-02-01 09:37:00","2020-02-01"
"59","R001","552","2020-06-17 20:35:00","2020-06-17"
"60","R001","567","2020-04-15 05:46:00","2020-04-15"
"62","R001","602","2020-03-10 07:03:00","2020-03-10"
"63","R001","608","2020-05-29 17:39:00","2020-05-29"
"64","R001","612","2020-02-02 15:58:00","2020-02-02"
"66","R001","698","2020-05-30 15:17:00","2020-05-30"
"67","R001","704","2020-05-02 13:43:00","2020-05-02"
"68","R001","710","2020-02-01 19:46:00","2020-02-01"
"69","R001","728","2020-02-16 16:40:00","2020-02-16"
"70","R001","734","2020-05-23 09:22:00","2020-05-23"
"71","R001","752","2020-03-22 10:57:00","2020-03-22"
"72","R001","762","2020-02-29 07:43:00","2020-02-29"
"75","R001","783","2020-06-19 22:36:00","2020-06-19"
"76","R001","787","2020-04-16 04:08:00","2020-04-16"
"77","R001","787","2020-04-16 09:06:00","2020-04-16"
"78","R001","801","2020-03-18 03:23:00","2020-03-18"
"80","R001","814","2020-07-04 20:07:00","2020-07-04"
"82","R001","820","2020-04-06 19:23:00","2020-04-06"
"85","R001","863","2020-01-30 18:20:00","2020-01-30"
"87","R001","885","2020-06-24 21:20:00","2020-06-24"
"89","R001","894","2020-05-23 08:47:00","2020-05-23"
"90","R001","908","2020-03-12 22:48:00","2020-03-12"
"91","R001","911","2020-06-28 17:08:00","2020-06-28"
"92","R001","926","2020-06-30 15:42:00","2020-06-30"
